metadata;file;mappings;datatype
beginningDateTime;xfdumanifest.xml;//sentinel-safe:acquisitionPeriod/sentinel-safe:startTime/text();DateTimeOffset
endingDateTime;xfdumanifest.xml;//sentinel-safe:acquisitionPeriod/sentinel-safe:stopTime/text();DateTimeOffset
platformShortName;static;SENTINEL-3;String
platformSerialIdentifier;xfdumanifest.xml;//sentinel-safe:platform/sentinel-safe:number/text();String
instrumentShortName;xfdumanifest.xml;//sentinel-safe:platform/sentinel-safe:instrument/sentinel-safe:familyName/@abbreviation;String
operationalMode;xfdumanifest.xml;//sentinel-safe:platform/sentinel-safe:instrument/sentinel-safe:mode/text();String
productType;xfdumanifest.xml;//sentinel3:generalProductInformation/sentinel3:productType/text();String
timeliness;xfdumanifest.xml;//sentinel3:generalProductInformation/sentinel3:timeliness/text();String
baselineCollection;xfdumanifest.xml;//sentinel3:generalProductInformation/sentinel3:baselineCollection/text();String
snowOrIceCover;xfdumanifest.xml;//syn:synProductInformation/syn:classificationSummary/sentinel3:snowOrIcePixels/@percentage;Double
salineWaterCover;xfdumanifest.xml;//syn:synProductInformation/syn:classificationSummary/sentinel3:salineWaterPixels/@percentage;Double
coastalCover;xfdumanifest.xml;//syn:synProductInformation/syn:classificationSummary/sentinel3:coastalPixels/@percentage;Double
freshInlandWaterCover;xfdumanifest.xml;//syn:synProductInformation/syn:classificationSummary/sentinel3:freshInlandWaterPixels/@percentage;Double
tidalRegionCover;xfdumanifest.xml;//syn:synProductInformation/syn:classificationSummary/sentinel3:tidalRegionPixels/@percentage;Double
landCover;xfdumanifest.xml;//syn:synProductInformation/syn:classificationSummary/sentinel3:landPixels/@percentage;Double
cloudCover;xfdumanifest.xml;//syn:synProductInformation/syn:classificationSummary/sentinel3:cloudyPixels/@percentage;Double
orbitNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:orbitNumber/text();Int64
orbitDirection;xfdumanifest.xml;uppercase(//sentinel-safe:orbitReference/sentinel-safe:orbitNumber[1]/@groundTrackDirection);String
lastOrbitNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:orbitNumber[2]/text();Int64
lastOrbitDirection;xfdumanifest.xml;uppercase(//sentinel-safe:orbitReference/sentinel-safe:orbitNumber[2]/@groundTrackDirection);String
relativeOrbitNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:relativeOrbitNumber/text();Int64
cycleNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:cycleNumber/text();Int64
processingLevel;xfdumanifest.xml;//sentinel-safe:processing/@outputLevel;String
processingDate;xfdumanifest.xml;//sentinel-safe:processing/@start;DateTimeOffset
processingCenter;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/@site;String
processorName;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/sentinel-safe:software/@name;String
processorVersion;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/sentinel-safe:software/@version;String
coordinates;xfdumanifest.xml;WKT(//sentinel-safe:frameSet/sentinel-safe:footPrint/gml:posList/text());String
